timestamp,latency,queue_id
1762520794.427368,309,0
1762520794.427525,300,0
1762520794.427664,323,0
1762520794.427812,299,0
1762520794.428032,303,0
1762520794.469328,336,0
1762520794.469785,310,0
1762520794.469943,303,0
1762520794.470057,327,0
1762520794.471956,310,3
1762520794.472123,301,3
1762520794.472240,327,3
1762520794.474112,306,1
1762520794.474272,300,1
1762520794.474378,319,1
1762520794.475882,311,0
1762520794.476032,307,0
1762520794.476137,326,0
1762520794.477647,313,2
1762520794.477770,306,2
1762520794.477867,326,2
1762520794.479238,307,3
1762520794.479392,306,3
1762520794.479519,327,3
1762520794.481030,310,2
1762520794.481182,306,2
1762520794.481215,323,2
1762520794.481952,307,3
1762520794.482124,306,3
1762520794.482148,326,3
1762520794.482884,310,0
1762520794.483063,304,0
1762520794.483096,326,0
1762520794.483815,310,3
1762520794.483870,300,3
1762520794.483886,322,3
1762520794.509731,303,0
1762520794.509827,304,0
1762520794.509838,1343,0
1762520794.509876,1336,0
1762520794.509876,1339,0
1762520794.509876,1343,0
1762520794.509876,1342,0
1762520794.509876,1338,0
1762520794.509911,19178,3
1762520794.509939,54104,0
1762520794.510105,183172,1
1762520794.510106,103932,2
1762520794.510373,487985,3
1762520794.510374,522910,0
1762520794.510574,688198,3
1762520794.510576,723117,0
1762520794.510843,920562,1
1762520794.510844,841330,2
1762520794.511112,1224145,3
1762520794.511113,1259070,0
1762520794.511313,1389366,1
1762520794.511314,1310127,2
1762520794.511582,1692947,3
1762520794.511584,1618218,0
1762520794.511850,1960313,3
1762520794.511852,1885581,0
1762520794.512052,2126762,1
1762520794.512052,2047523,2
1762520794.512320,2429110,3
1762520794.512322,2354379,0
1762520794.512589,2662709,1
1762520794.512590,2583474,2
1762520794.512790,2897916,3
1762520794.512791,2823185,0
1762520794.513059,3131512,1
1762520794.513060,3052274,2
1762520794.513328,3433865,3
1762520794.513329,3359133,0
1762520794.513529,3600313,1
1762520794.513530,3521078,2
1762520794.513797,3902669,3
1762520794.513799,3827937,0
1762520794.514066,4136263,1
1762520794.514067,4057031,2
1762520794.514269,4231814,3
1762520794.514269,4296735,0
1762520794.514536,4605064,1
1762520794.514538,4525828,2
1762520794.514805,4767769,3
1762520794.514806,4832687,0
1762520794.515006,5073867,1
1762520794.515007,4994635,2
1762520794.515275,5236573,3
1762520794.515276,5301488,0
1762520794.515545,4485051,1
1762520794.515560,5461770,2
1762520794.515745,5705373,3
1762520794.515746,5770294,0
1762520794.516016,4953855,1
1762520794.516029,5930565,2
1762520794.516282,6241324,3
