timestamp,latency,queue_id
1762625089.245328,308,3
1762625089.245470,298,3
1762625089.245597,324,3
1762625089.245726,300,3
1762625089.245855,304,3
1762625089.289332,334,3
1762625089.289760,307,2
1762625089.289916,304,2
1762625089.290025,320,2
1762625089.291909,308,2
1762625089.292048,304,2
1762625089.292177,322,2
1762625089.294007,304,3
1762625089.294166,304,3
1762625089.294401,320,3
1762625089.296003,311,5
1762625089.296152,301,5
1762625089.296282,323,5
1762625089.297545,301,6
1762625089.297687,304,6
1762625089.297739,324,6
1762625089.298959,307,6
1762625089.299135,297,6
1762625089.299265,320,6
1762625089.300502,307,6
1762625089.300663,305,6
1762625089.300759,321,6
1762625089.329687,301,3
1762625089.329793,1340,2
1762625089.329793,1338,2
1762625089.329793,1336,2
1762625089.329816,304,3
1762625089.329832,1335,2
1762625089.329832,1339,2
1762625089.329832,1336,2
1762625089.329857,2104,3
1762625089.329868,58062,2
1762625089.330058,169501,5
1762625089.330059,141619,6
1762625089.330326,526548,2
1762625089.330340,525631,2
1762625089.330528,672347,3
1762625089.330529,638617,5
1762625089.330796,878700,6
1762625089.330797,994432,2
1762625089.331065,1208298,3
1762625089.331066,1174571,5
1762625089.331268,1347497,6
1762625089.331268,1346586,6
1762625089.331536,1677412,3
1762625089.331536,1710845,2
1762625089.331803,1911645,5
1762625089.331805,1978518,2
1762625089.332005,2145901,3
1762625089.332006,2112171,5
1762625089.332274,2352252,6
1762625089.332275,2447321,2
1762625089.332542,2681849,3
1762625089.332544,2648123,5
1762625089.332744,2821055,6
1762625089.332778,2820138,6
1762625089.333013,3184396,2
1762625089.333014,3150967,3
1762625089.333281,3385199,5
1762625089.333283,3356091,6
1762625089.333482,3653199,2
1762625089.333484,3619772,3
1762625089.333751,3854006,5
1762625089.333752,3920870,2
1762625089.334019,4155402,3
1762625089.334021,4121674,5
1762625089.334221,4294606,6
1762625089.334222,4389674,2
1762625089.334490,4624209,3
1762625089.334491,4590479,5
1762625089.334760,4830560,6
1762625089.334772,4814773,6
1762625089.334960,5126757,2
1762625089.334961,4271245,3
1762625089.335228,4505462,5
1762625089.335229,5283579,6
1762625089.335497,5662700,2
1762625089.335498,4807197,3
1762625089.335698,4974261,5
1762625089.335699,5863233,2
1762625089.335967,5275688,3
1762625089.335968,5241941,5
1762625089.336235,6289248,6
1762625089.336237,6222896,2
1762625089.336437,5744485,3
1762625089.336438,5710737,5
1762625089.336706,6758048,6
1762625089.336836,6757133,6
1762625089.336974,6959978,2
1762625089.336976,5283669,3
1762625089.337176,5221111,5
1762625089.337177,7225934,6
1762625089.337444,7428783,2
1762625089.337446,5752469,3
1762625089.337713,5757062,5
1762625089.337714,7696454,2
1762625089.337914,6220960,3
1762625089.337916,5957593,5
1762625089.338183,8231602,6
1762625089.338184,8113997,2
1762625089.338451,6756903,3
1762625089.338453,6493540,5
1762625089.338653,8700403,6
1762625089.338783,8699489,6
1762625089.338921,8851079,2
1762625089.338923,6203570,3
