timestamp,latency,queue_id
1762531734.832971,311,1
1762531734.833117,304,1
1762531734.833255,320,1
1762531734.833420,301,1
1762531734.833657,304,1
1762531734.877342,339,1
1762531734.877662,304,0
1762531734.877833,300,0
1762531734.877962,327,0
1762531734.879885,311,0
1762531734.880049,301,0
1762531734.880187,328,0
1762531734.882061,312,2
1762531734.882215,301,2
1762531734.882335,324,2
1762531734.884228,310,1
1762531734.884377,301,1
1762531734.884497,327,1
1762531734.885809,311,0
1762531734.885979,301,0
1762531734.886012,330,0
1762531734.886928,311,0
1762531734.887095,304,0
1762531734.887129,324,0
1762531734.918696,304,1
1762531734.918774,301,1
1762531734.918809,1340,0
1762531734.918809,1341,0
1762531734.918809,1343,0
1762531734.918809,1344,0
1762531734.918855,1344,0
1762531734.918855,1334,0
1762531734.918855,15109,0
1762531734.918855,14199,0
1762531734.919036,41632,1
1762531734.919038,138662,2
1762531734.919304,482684,0
1762531734.919337,481768,0
1762531734.919573,577579,1
1762531734.919574,674611,2
1762531734.919775,778107,1
1762531734.919776,917327,0
1762531734.920043,1143097,2
1762531734.920044,1185002,0
1762531734.920311,1313747,1
1762531734.920313,1410777,2
1762531734.920513,1653492,0
1762531734.920526,1652574,0
1762531734.920781,1782543,1
1762531734.920783,1879580,2
1762531734.921050,2043749,1
1762531734.921052,2062524,2
1762531734.921252,2389651,0
1762531734.921253,2244282,1
1762531734.921520,2531010,2
1762531734.921521,2657324,0
1762531734.921789,2779911,1
1762531734.921790,2798686,2
1762531734.921990,3125812,0
1762531734.922003,3124896,0
1762531734.922259,3248716,1
1762531734.922260,3267485,2
1762531734.922528,3516077,1
1762531734.922528,3534849,2
1762531734.922729,3861973,0
1762531734.922730,2998997,1
1762531734.922997,3230164,2
1762531734.922999,4129652,0
1762531734.923266,3534632,1
1762531734.923267,3497838,2
1762531734.923468,4467218,0
1762531734.923502,4466301,0
1762531734.923736,4003432,1
1762531734.923738,3966642,2
1762531734.924005,4270795,1
1762531734.924006,4234003,2
1762531734.924206,5203379,0
1762531734.924207,3267999,1
1762531734.924475,3502704,2
1762531734.924476,5471052,0
1762531734.924743,3803635,1
1762531734.924744,3770379,2
1762531734.924945,5939540,0
1762531734.924978,5932471,0
1762531734.925214,4272439,1
1762531734.925215,4239179,2
1762531734.925415,4472652,1
1762531734.925416,4439395,2
1762531734.925683,6669550,0
1762531734.925685,4740323,1
1762531734.925952,4975025,2
1762531734.925953,6937229,0
1762531734.926153,5208812,1
1762531734.926155,5175556,2
1762531734.926422,7405710,0
1762531734.926455,7404800,0
1762531734.926691,4740461,1
