timestamp,latency,queue_id
1762521350.763447,307,6
1762521350.763603,300,6
1762521350.763744,326,6
1762521350.763906,300,6
1762521350.764134,306,6
1762521350.805341,336,6
1762521350.805653,310,3
1762521350.805826,300,3
1762521350.805883,326,3
1762521350.807750,311,0
1762521350.807899,303,0
1762521350.808044,329,0
1762521350.809921,309,6
1762521350.810089,306,6
1762521350.810219,327,6
1762521350.812069,313,5
1762521350.812221,301,5
1762521350.812330,323,5
1762521350.813616,309,4
1762521350.813775,300,4
1762521350.813872,323,4
1762521350.814809,310,1
1762521350.814956,307,1
1762521350.815054,324,1
1762521350.815986,303,7
1762521350.816142,306,7
1762521350.816176,330,7
1762521350.817018,310,1
1762521350.817191,300,1
1762521350.817205,325,1
1762521350.818064,310,3
1762521350.818223,300,3
1762521350.818237,328,3
1762521350.819086,307,3
1762521350.819239,301,3
1762521350.819273,326,3
1762521350.845709,306,6
1762521350.845821,1335,3
1762521350.845821,1342,3
1762521350.845821,1339,3
1762521350.845838,303,6
1762521350.845862,1340,3
1762521350.845862,1341,3
1762521350.845863,1336,3
1762521350.845863,1338,3
1762521350.845889,25844,0
1762521350.845902,58937,3
1762521350.846160,176924,4
1762521350.846174,214031,5
1762521350.846427,524670,6
1762521350.846428,359146,7
1762521350.846629,763234,0
1762521350.846630,611070,1
1762521350.846897,1064601,3
1762521350.846898,1030910,0
1762521350.847166,1331962,3
1762521350.847166,1118939,3
1762521350.847368,1384353,4
1762521350.847380,1421461,5
1762521350.847636,1732100,6
1762521350.847637,1566574,7
1762521350.847904,2036576,0
1762521350.847905,1885644,1
1762521350.848105,2057457,3
1762521350.848107,2122056,4
1762521350.848374,2427129,5
1762521350.848375,2469804,6
1762521350.848643,2572238,7
1762521350.848644,2774283,0
1762521350.848845,2824161,1
1762521350.848845,2795166,3
1762521350.849113,3242768,0
1762521350.849243,3241854,0
1762521350.849381,3360117,1
1762521350.849383,3331117,3
1762521350.849585,3597758,4
1762521350.849596,3634866,5
1762521350.849851,3945507,6
1762521350.849853,3779982,7
1762521350.850120,4247526,0
1762521350.850121,4097824,1
1762521350.850322,4229744,3
1762521350.850322,4335464,4
1762521350.850590,4640536,5
1762521350.850591,4683211,6
1762521350.850859,4785651,7
1762521350.850860,4835215,1
1762521350.851062,5072543,4
1762521350.851073,5109651,5
1762521350.851329,5420293,6
1762521350.851330,5254765,7
1762521350.851597,5723539,0
1762521350.851599,5572609,1
1762521350.851799,5705762,3
1762521350.851800,5810251,4
1762521350.852067,6115318,5
1762521350.852068,6157995,6
1762521350.852336,6260433,7
1762521350.852337,6461246,0
1762521350.852537,6511133,1
1762521350.852538,6443468,3
1762521350.852808,6815918,4
1762521350.852819,6853030,5
1762521350.853074,7163668,6
1762521350.853076,6998146,7
1762521350.853276,6483146,0
1762521350.853277,7180864,3
1762521350.853546,7553310,4
1762521350.853557,7590421,5
1762521350.853813,7901061,6
1762521350.853814,7735533,7
1762521350.854015,7220532,0
1762521350.854016,7987458,1
1762521350.854284,8186529,3
1762521350.854284,8291019,4
1762521350.854552,8596090,5
1762521350.854553,8638767,6
1762521350.854753,8674057,7
1762521350.854755,8724855,1
1762521350.855022,8874956,3
1762521350.855024,7506014,4
1762521350.855291,7737751,5
1762521350.855292,7479601,6
1762521350.855492,7629235,7
1762521350.855493,8696867,0
1762521350.855761,9648818,1
1762521350.855762,9612658,3
1762521350.856031,8511676,4
1762521350.856048,8475461,5
1762521350.856231,8418122,6
1762521350.856232,8366939,7
1762521350.856499,9702534,0
1762521350.856501,10386524,1
1762521350.856768,10618330,3
1762521350.856769,8662062,0
1762521350.856969,10855012,1
1762521350.856971,10818858,3
1762521350.857240,9719107,4
1762521350.857251,9682887,5
1762521350.857506,9692701,6
1762521350.857508,9641514,7
1762521350.857708,9600577,0
1762521350.857709,11592716,1
1762521350.857978,10456497,4
1762521350.857989,10420276,5
1762521350.858245,10430087,6
1762521350.858246,10378905,7
1762521350.858447,10337972,0
1762521350.858448,12330114,1
1762521350.858715,12563145,3
1762521350.858717,8897887,4
1762521350.858984,9130153,5
1762521350.858985,9081605,6
1762521350.859185,9240217,7
1762521350.859187,11075677,0
1762521350.859454,13335776,1
1762521350.859455,13300854,3
1762521350.859724,9903554,4
1762521350.859735,9867864,5
1762521350.859924,10020123,6
1762521350.859926,9977923,7
1762521350.860192,10905070,0
1762521350.860194,14038191,3
1762521350.860463,10640946,4
1762521350.860473,10605258,5
1762521350.860663,10757517,6
1762521350.860664,10715315,7
1762521350.860932,11642466,0
1762521350.860932,14812109,1
1762521350.861132,14976710,3
1762521350.861134,11311509,4
1762521350.861402,11543775,5
1762521350.861403,11495226,6
1762521350.861670,11720981,7
1762521350.861671,15549503,1
1762521350.861871,15714103,3
1762521350.861873,10751622,4
1762521350.862140,10979813,5
1762521350.862141,10656153,6
1762521350.862408,11391956,7
1762521350.862410,13118792,0
1762521350.862610,16488020,1
1762521350.862612,16451811,3
1762521350.862880,11757293,4
1762521350.862891,11717527,5
1762521350.863147,11661825,6
1762521350.863149,12129667,7
1762521350.863348,14057317,0
1762521350.863350,17225730,1
1762521350.863617,17457480,3
1762521350.863618,11865856,0
1762521350.863886,15752195,1
1762521350.863887,17716201,3
1762521350.864089,12964714,4
1762521350.864096,12924953,5
1762521350.864356,12869248,6
1762521350.864357,11862601,7
1762521350.864625,12871523,0
1762521350.864626,16489896,1
1762521350.864828,13702111,4
1762521350.864840,13662343,5
1762521350.865095,13606639,6
1762521350.865096,12599996,7
1762521350.865363,13608916,0
1762521350.865365,17227294,1
1762521350.865565,19393342,3
1762521350.865566,12609592,4
1762521350.865833,13609127,5
1762521350.865835,12549920,6
1762521350.866102,13605660,7
1762521350.866103,14346627,0
1762521350.866303,18165812,1
1762521350.866305,20131051,3
1762521350.866574,13615261,4
1762521350.866585,14346829,5
1762521350.866840,13555585,6
1762521350.866842,14343369,7
1762521350.867042,15285143,0
1762521350.867043,20868448,3
1762521350.867312,14352651,4
1762521350.867319,13522826,5
1762521350.867579,14292983,6
1762521350.867580,13577555,7
1762521350.867781,16022539,0
1762521350.867782,18218041,1
1762521350.868049,21874113,3
1762521350.868051,15090359,4
1762521350.868318,14528495,5
1762521350.868319,15030684,6
1762521350.868519,14516077,7
1762521350.868520,18955437,1
1762521350.868788,22578507,3
1762521350.868789,14353160,4
1762521350.869056,15265884,5
1762521350.869058,14285687,6
1762521350.869258,15253468,7
1762521350.869259,15795523,0
1762521350.869527,19961102,1
1762521350.869528,23316214,3
1762521350.869797,15358825,4
1762521350.869809,16003595,5
