timestamp,latency,queue_id
1762600348.664611,342,4
1762600348.664781,332,4
1762600348.664916,356,4
1762600348.665081,340,4
1762600348.665324,339,4
1762600348.713344,372,4
1762600348.713802,342,0
1762600348.713958,339,0
1762600348.713999,359,0
1762600348.715845,340,5
1762600348.716014,333,5
1762600348.716132,358,5
1762600348.717992,342,7
1762600348.718145,332,7
1762600348.718258,362,7
1762600348.719944,342,2
1762600348.720098,339,2
1762600348.720208,358,2
1762600348.721877,342,1
1762600348.722047,333,1
1762600348.722074,351,1
1762600348.723651,343,3
1762600348.723832,336,3
1762600348.723952,355,3
1762600348.725245,342,3
1762600348.725397,333,3
1762600348.725422,356,3
1762600348.726200,343,0
1762600348.726359,333,0
1762600348.726455,361,0
1762600348.754311,337,4
1762600348.754389,335,4
1762600348.754425,1338,0
1762600348.754425,1339,0
1762600348.754425,1343,0
1762600348.754425,1338,0
1762600348.754475,1341,0
1762600348.754475,1340,0
1762600348.754475,1339,0
1762600348.754497,29169,5
1762600348.754498,62736,0
1762600348.754765,173179,1
1762600348.754766,212605,2
1762600348.755034,400821,3
1762600348.755034,565434,5
1762600348.755235,727903,7
1762600348.755235,800132,0
1762600348.755503,1033919,5
1762600348.755504,1067490,0
1762600348.755772,1179160,1
1762600348.755773,1218589,2
1762600348.755974,1339654,3
1762600348.755974,1503037,5
1762600348.756242,1733883,7
1762600348.756243,1586169,0
1762600348.756510,1916554,1
1762600348.756511,1955978,2
1762600348.756711,2077048,3
1762600348.756713,2240434,5
1762600348.756980,2471277,7
1762600348.756982,2323560,0
1762600348.757249,2776063,5
1762600348.757250,2590920,0
1762600348.757450,2855384,1
1762600348.757451,2894815,2
1762600348.757719,3083031,3
1762600348.757720,3245185,5
1762600348.757987,3477261,7
1762600348.757988,3328309,0
1762600348.758189,3592778,1
1762600348.758190,3632204,2
1762600348.758457,3820420,3
1762600348.758458,3982571,5
1762600348.758726,4214653,7
1762600348.758727,4032871,0
1762600348.758928,4330168,1
1762600348.758929,4369598,2
1762600348.759196,4557815,3
1762600348.759198,4683768,7
1762600348.759465,4769945,0
1762600348.759466,4866438,1
1762600348.759666,5106681,2
1762600348.759667,5026936,3
1762600348.759935,5458277,5
1762600348.759936,5421162,7
1762600348.760203,5507343,0
1762600348.760204,5603824,1
1762600348.760405,5844066,2
1762600348.760406,5764323,3
1762600348.760673,6195666,5
1762600348.760675,6158553,7
1762600348.760942,6244732,0
1762600348.760943,5715564,5
1762600348.761143,6627044,7
1762600348.761145,6445260,0
1762600348.761412,6810939,1
1762600348.761414,6850369,2
1762600348.761681,7038586,3
1762600348.761682,6452958,5
1762600348.761882,7364430,7
1762600348.761884,7280052,1
1762600348.762151,7587444,2
1762600348.762152,7507699,3
1762600348.762420,7190042,5
1762600348.762420,6029532,7
1762600348.762621,7920959,0
1762600348.762622,6697560,1
1762600348.762889,6914447,2
1762600348.762895,8208323,3
1762600348.763158,7927427,5
1762600348.763159,6766926,7
1762600348.763360,8658354,0
1762600348.763361,7434949,1
1762600348.763628,7651837,2
1762600348.763630,8944484,3
1762600348.763897,7028279,5
1762600348.763898,9194614,0
1762600348.764098,8172028,1
1762600348.764100,8120955,2
1762600348.764367,9681558,3
1762600348.764368,7497395,5
1762600348.764635,8242624,7
1762600348.764637,9908461,0
1762600348.764837,8909418,1
1762600348.764838,8858349,2
1762600348.765106,10418953,3
1762600348.765107,8711743,7
1762600348.765374,10645539,0
1762600348.765375,7762995,1
1762600348.765575,7931646,2
